ship,departure_date,inside,outside,balcony,suite,created_at
Celebrity Eclipse,08-Feb-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:07+00:00
Celebrity Eclipse,14-Feb-2026,N/A,N/A,N/A,9742.25,2025-12-24T07:48:07+00:00
Celebrity Eclipse,22-Feb-2026,N/A,841.66,906.66,3945.66,2025-12-24T07:48:07+00:00
Celebrity Eclipse,28-Feb-2026,1193.47,1364.97,1503.47,4131.97,2025-12-24T07:48:07+00:00
Celebrity Edge,05-Jan-2026,N/A,N/A,2947.16,N/A,2025-12-24T07:48:07+00:00
Celebrity Edge,14-Jan-2026,N/A,2841.62,2682.62,N/A,2025-12-24T07:48:07+00:00
Celebrity Edge,25-Jan-2026,N/A,N/A,734.81,N/A,2025-12-24T07:48:07+00:00
Celebrity Edge,29-Jan-2026,N/A,N/A,3168.28,N/A,2025-12-24T07:48:07+00:00
Celebrity Edge,11-Feb-2026,N/A,N/A,N/A,4218.62,2025-12-24T07:48:07+00:00
Celebrity Edge,22-Feb-2026,2347.88,2895.88,N/A,8661.88,2025-12-24T07:48:12+00:00
Celebrity Equinox,03-Jan-2026,2557.08,N/A,3182.08,N/A,2025-12-24T07:48:12+00:00
Celebrity Equinox,17-Jan-2026,1641.08,N/A,N/A,12545.58,2025-12-24T07:48:12+00:00
Celebrity Equinox,31-Jan-2026,N/A,N/A,N/A,8447.58,2025-12-24T07:48:12+00:00
Celebrity Equinox,14-Feb-2026,1337.2,2030.7,1537.2,10214.2,2025-12-24T07:48:12+00:00
Celebrity Equinox,28-Feb-2026,1329.89,N/A,1529.89,9191.39,2025-12-24T07:48:12+00:00
Celebrity Flora,04-Jan-2026,N/A,N/A,N/A,12044.0,2025-12-24T07:48:12+00:00
Celebrity Flora,11-Jan-2026,N/A,N/A,N/A,9176.0,2025-12-24T07:48:12+00:00
Celebrity Flora,18-Jan-2026,N/A,N/A,N/A,9337.0,2025-12-24T07:48:12+00:00
Celebrity Flora,08-Feb-2026,N/A,N/A,N/A,13213.0,2025-12-24T07:48:12+00:00
Celebrity Flora,08-Feb-2026,N/A,N/A,N/A,13363.5,2025-12-24T07:48:12+00:00
Celebrity Flora,08-Feb-2026,N/A,N/A,N/A,11213.0,2025-12-24T07:48:12+00:00
Celebrity Flora,15-Feb-2026,N/A,N/A,N/A,16374.0,2025-12-24T07:48:12+00:00
Celebrity Flora,15-Feb-2026,N/A,N/A,N/A,16523.5,2025-12-24T07:48:12+00:00
Celebrity Flora,15-Feb-2026,N/A,N/A,N/A,14374.0,2025-12-24T07:48:12+00:00
Celebrity Flora,22-Feb-2026,N/A,N/A,N/A,14066.0,2025-12-24T07:48:12+00:00
Celebrity Flora,22-Feb-2026,N/A,N/A,N/A,14215.5,2025-12-24T07:48:12+00:00
Celebrity Flora,22-Feb-2026,N/A,N/A,N/A,22415.5,2025-12-24T07:48:12+00:00
Celebrity Flora,22-Feb-2026,N/A,N/A,N/A,12066.0,2025-12-24T07:48:12+00:00
Celebrity Flora,01-Mar-2026,N/A,N/A,N/A,19779.0,2025-12-24T07:48:12+00:00
Celebrity Flora,01-Mar-2026,N/A,N/A,N/A,19928.5,2025-12-24T07:48:17+00:00
Celebrity Flora,01-Mar-2026,N/A,N/A,N/A,28128.5,2025-12-24T07:48:17+00:00
Celebrity Infinity,11-Jan-2026,N/A,N/A,3103.54,N/A,2025-12-24T07:48:17+00:00
Celebrity Infinity,03-Feb-2026,1901.95,2174.95,2348.95,3548.95,2025-12-24T07:48:17+00:00
Celebrity Infinity,16-Feb-2026,809.28,909.28,1509.28,2748.78,2025-12-24T07:48:17+00:00
Celebrity Infinity,27-Feb-2026,N/A,859.25,1159.25,2298.75,2025-12-24T07:48:17+00:00
Celebrity Millennium,03-Jan-2026,2104.86,2369.36,2872.36,N/A,2025-12-24T07:48:17+00:00
Celebrity Millennium,03-Jan-2026,N/A,2306.86,2780.86,N/A,2025-12-24T07:48:17+00:00
Celebrity Millennium,15-Jan-2026,1108.23,N/A,3030.23,N/A,2025-12-24T07:48:17+00:00
Celebrity Millennium,27-Jan-2026,N/A,2153.31,N/A,11668.31,2025-12-24T07:48:17+00:00
Celebrity Millennium,08-Feb-2026,1672.9,1922.4,3125.9,N/A,2025-12-24T07:48:17+00:00
Celebrity Millennium,20-Feb-2026,N/A,N/A,4225.81,13497.81,2025-12-24T07:48:17+00:00
Celebrity Reflection,05-Jan-2026,546.83,N/A,N/A,N/A,2025-12-24T07:48:17+00:00
Celebrity Reflection,09-Jan-2026,N/A,326.79,624.79,2760.79,2025-12-24T07:48:17+00:00
Celebrity Reflection,16-Jan-2026,N/A,N/A,N/A,2705.29,2025-12-24T07:48:17+00:00
Celebrity Reflection,19-Jan-2026,462.37,N/A,N/A,N/A,2025-12-24T07:48:17+00:00
Celebrity Reflection,23-Jan-2026,236.79,256.79,406.79,1781.79,2025-12-24T07:48:17+00:00
Celebrity Reflection,26-Jan-2026,464.9,N/A,410.4,1908.9,2025-12-24T07:48:17+00:00
Celebrity Reflection,30-Jan-2026,246.79,296.79,296.79,1062.79,2025-12-24T07:48:17+00:00
Celebrity Reflection,02-Feb-2026,296.56,296.56,416.56,1333.06,2025-12-24T07:48:17+00:00
Celebrity Reflection,06-Feb-2026,N/A,N/A,458.29,N/A,2025-12-24T07:48:21+00:00
Celebrity Reflection,09-Feb-2026,N/A,N/A,647.83,3073.33,2025-12-24T07:48:21+00:00
Celebrity Reflection,13-Feb-2026,N/A,N/A,N/A,4314.79,2025-12-24T07:48:21+00:00
Celebrity Reflection,23-Feb-2026,363.33,N/A,404.33,1200.33,2025-12-24T07:48:21+00:00
Celebrity Silhouette,04-Jan-2026,N/A,N/A,1488.69,N/A,2025-12-24T07:48:21+00:00
Celebrity Silhouette,10-Jan-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:21+00:00
Celebrity Silhouette,18-Jan-2026,N/A,N/A,N/A,4801.22,2025-12-24T07:48:21+00:00
Celebrity Silhouette,24-Jan-2026,N/A,N/A,1902.85,3807.35,2025-12-24T07:48:21+00:00
Celebrity Silhouette,01-Feb-2026,N/A,N/A,1443.3,4548.3,2025-12-24T07:48:21+00:00
Celebrity Silhouette,07-Feb-2026,1498.35,1655.35,N/A,6469.85,2025-12-24T07:48:21+00:00
Celebrity Silhouette,15-Feb-2026,843.3,N/A,N/A,4610.3,2025-12-24T07:48:21+00:00
Celebrity Silhouette,21-Feb-2026,N/A,1710.81,N/A,N/A,2025-12-24T07:48:21+00:00
Celebrity Solstice,03-Jan-2026,1350.51,N/A,1450.51,N/A,2025-12-24T07:48:21+00:00
Celebrity Solstice,27-Jan-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:21+00:00
Celebrity Summit,05-Jan-2026,571.68,N/A,713.68,N/A,2025-12-24T07:48:21+00:00
Celebrity Summit,17-Feb-2026,N/A,N/A,842.8,2011.8,2025-12-24T07:48:21+00:00
Celebrity Summit,21-Feb-2026,329.6,369.6,513.6,2333.6,2025-12-24T07:48:21+00:00
Celebrity Summit,26-Feb-2026,346.46,396.46,723.46,2073.46,2025-12-24T07:48:21+00:00
Celebrity Xcel,04-Jan-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:21+00:00
Celebrity Xcel,11-Jan-2026,N/A,N/A,N/A,8152.06,2025-12-24T07:48:21+00:00
Celebrity Xcel,18-Jan-2026,N/A,N/A,N/A,6034.23,2025-12-24T07:48:24+00:00
Celebrity Xcel,25-Jan-2026,N/A,N/A,N/A,4653.13,2025-12-24T07:48:24+00:00
Celebrity Xcel,01-Feb-2026,N/A,N/A,1629.73,5369.23,2025-12-24T07:48:24+00:00
Celebrity Xcel,08-Feb-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:24+00:00
Celebrity Xcel,15-Feb-2026,N/A,N/A,N/A,4531.73,2025-12-24T07:48:24+00:00
Celebrity Xcel,22-Feb-2026,1290.65,1508.65,2425.65,5113.65,2025-12-24T07:48:24+00:00
Celebrity Apex,07-Mar-2026,1439.23,1448.73,1643.73,4074.73,2025-12-24T07:48:29+00:00
Celebrity Apex,14-Mar-2026,1509.45,1530.95,1694.45,4713.95,2025-12-24T07:48:29+00:00
Celebrity Apex,21-Mar-2026,1380.49,1380.49,1792.49,3769.49,2025-12-24T07:48:29+00:00
Celebrity Apex,28-Mar-2026,1123.95,1124.95,1348.45,3075.95,2025-12-24T07:48:29+00:00
Celebrity Apex,04-Apr-2026,1647.99,1700.49,1784.49,3157.99,2025-12-24T07:48:29+00:00
Celebrity Apex,11-Apr-2026,1008.45,1136.95,1354.95,4536.95,2025-12-24T07:48:29+00:00
Celebrity Apex,18-Apr-2026,1285.49,1179.99,1385.99,4454.49,2025-12-24T07:48:29+00:00
Celebrity Apex,25-Apr-2026,N/A,1729.61,2062.11,11805.11,2025-12-24T07:48:29+00:00
Celebrity Ascent,06-Mar-2026,1502.77,1702.77,2477.77,10857.77,2025-12-24T07:48:29+00:00
Celebrity Ascent,16-Mar-2026,1685.64,2685.64,2960.64,6985.64,2025-12-24T07:48:29+00:00
Celebrity Ascent,27-Mar-2026,N/A,1972.77,2447.77,6147.77,2025-12-24T07:48:29+00:00
Celebrity Ascent,06-Apr-2026,1763.52,2950.02,2973.52,6898.52,2025-12-24T07:48:29+00:00
Celebrity Ascent,17-Apr-2026,501.79,771.29,795.79,2301.29,2025-12-24T07:48:29+00:00
Celebrity Ascent,20-Apr-2026,N/A,1842.09,2421.59,5468.59,2025-12-24T07:48:29+00:00
Celebrity Beyond,01-Mar-2026,1196.4,1411.4,1519.4,4007.4,2025-12-24T07:48:29+00:00
Celebrity Beyond,08-Mar-2026,1125.88,1618.38,1563.38,3483.38,2025-12-24T07:48:29+00:00
Celebrity Beyond,15-Mar-2026,1124.9,1408.9,1949.4,3181.9,2025-12-24T07:48:29+00:00
Celebrity Beyond,22-Mar-2026,1027.38,1145.88,1414.38,3180.88,2025-12-24T07:48:29+00:00
Celebrity Beyond,29-Mar-2026,1082.4,1151.9,1424.9,3149.9,2025-12-24T07:48:29+00:00
Celebrity Beyond,05-Apr-2026,905.88,1135.88,1485.38,2765.38,2025-12-24T07:48:29+00:00
Celebrity Beyond,12-Apr-2026,901.4,1014.9,1278.9,2904.9,2025-12-24T07:48:35+00:00
Celebrity Beyond,19-Apr-2026,965.88,970.88,1448.38,2764.38,2025-12-24T07:48:35+00:00
Celebrity Beyond,26-Apr-2026,1088.41,1349.91,1583.41,3695.41,2025-12-24T07:48:35+00:00
Celebrity Constellation,01-Mar-2026,696.81,848.31,1330.31,6718.31,2025-12-24T07:48:35+00:00
Celebrity Constellation,08-Mar-2026,842.84,940.34,1692.34,5998.84,2025-12-24T07:48:35+00:00
Celebrity Constellation,15-Mar-2026,812.31,939.81,1230.31,2575.81,2025-12-24T07:48:35+00:00
Celebrity Constellation,22-Mar-2026,608.67,688.67,1061.67,4556.67,2025-12-24T07:48:35+00:00
Celebrity Constellation,29-Mar-2026,619.19,699.19,1169.19,2989.69,2025-12-24T07:48:35+00:00
Celebrity Constellation,05-Apr-2026,724.52,774.52,1098.52,3432.52,2025-12-24T07:48:35+00:00
Celebrity Constellation,12-Apr-2026,949.22,1120.72,1510.72,17559.72,2025-12-24T07:48:35+00:00
Celebrity Constellation,27-Apr-2026,1599.22,2399.22,4299.22,9424.72,2025-12-24T07:48:35+00:00
Celebrity Eclipse,08-Mar-2026,756.01,832.51,956.01,2843.51,2025-12-24T07:48:35+00:00
Celebrity Eclipse,14-Mar-2026,1264.25,1336.25,1482.25,3420.75,2025-12-24T07:48:35+00:00
Celebrity Eclipse,22-Mar-2026,683.41,885.91,968.41,2650.91,2025-12-24T07:48:35+00:00
Celebrity Eclipse,28-Mar-2026,1169.25,1219.25,1405.75,3867.25,2025-12-24T07:48:35+00:00
Celebrity Eclipse,05-Apr-2026,719.08,930.58,953.58,2078.08,2025-12-24T07:48:35+00:00
Celebrity Eclipse,11-Apr-2026,945.75,1127.75,1370.25,3992.75,2025-12-24T07:48:35+00:00
Celebrity Eclipse,19-Apr-2026,845.77,1507.27,1122.77,2057.77,2025-12-24T07:48:35+00:00
Celebrity Eclipse,25-Apr-2026,1440.34,1630.34,1702.84,N/A,2025-12-24T07:48:35+00:00
Celebrity Edge,05-Mar-2026,2023.94,3107.94,4166.44,5648.94,2025-12-24T07:48:35+00:00
Celebrity Edge,18-Mar-2026,N/A,N/A,3448.76,8774.76,2025-12-24T07:48:40+00:00
Celebrity Edge,29-Mar-2026,1824.0,2074.0,2820.5,7097.5,2025-12-24T07:48:40+00:00
Celebrity Edge,12-Apr-2026,N/A,1970.83,2248.83,4048.33,2025-12-24T07:48:40+00:00
Celebrity Edge,20-Apr-2026,N/A,1873.61,2499.11,9334.11,2025-12-24T07:48:40+00:00
Celebrity Equinox,30-Mar-2026,1399.39,N/A,1465.39,5071.89,2025-12-24T07:48:40+00:00
Celebrity Equinox,16-Apr-2026,1648.89,1648.89,1698.89,4398.89,2025-12-24T07:48:40+00:00
Celebrity Equinox,25-Apr-2026,1924.31,2144.81,2348.31,4512.81,2025-12-24T07:48:40+00:00
Celebrity Flora,01-Mar-2026,N/A,N/A,N/A,19779.0,2025-12-24T07:48:40+00:00
Celebrity Flora,01-Mar-2026,N/A,N/A,N/A,19928.5,2025-12-24T07:48:40+00:00
Celebrity Flora,01-Mar-2026,N/A,N/A,N/A,28128.5,2025-12-24T07:48:40+00:00
Celebrity Flora,01-Mar-2026,N/A,N/A,N/A,17779.0,2025-12-24T07:48:40+00:00
Celebrity Flora,08-Mar-2026,N/A,N/A,N/A,13362.0,2025-12-24T07:48:40+00:00
Celebrity Flora,08-Mar-2026,N/A,N/A,N/A,13511.5,2025-12-24T07:48:40+00:00
Celebrity Flora,08-Mar-2026,N/A,N/A,N/A,21711.5,2025-12-24T07:48:40+00:00
Celebrity Flora,08-Mar-2026,N/A,N/A,N/A,11362.0,2025-12-24T07:48:40+00:00
Celebrity Flora,05-Apr-2026,N/A,N/A,N/A,13595.0,2025-12-24T07:48:40+00:00
Celebrity Flora,05-Apr-2026,N/A,N/A,N/A,13744.5,2025-12-24T07:48:40+00:00
Celebrity Flora,05-Apr-2026,N/A,N/A,N/A,21944.5,2025-12-24T07:48:40+00:00
Celebrity Flora,12-Apr-2026,N/A,N/A,N/A,13674.0,2025-12-24T07:48:40+00:00
Celebrity Flora,12-Apr-2026,N/A,N/A,N/A,13824.0,2025-12-24T07:48:40+00:00
Celebrity Flora,12-Apr-2026,N/A,N/A,N/A,22024.0,2025-12-24T07:48:44+00:00
Celebrity Flora,12-Apr-2026,N/A,N/A,N/A,11674.0,2025-12-24T07:48:44+00:00
Celebrity Flora,26-Apr-2026,N/A,N/A,N/A,13030.0,2025-12-24T07:48:44+00:00
Celebrity Flora,26-Apr-2026,N/A,N/A,N/A,13179.5,2025-12-24T07:48:44+00:00
Celebrity Flora,26-Apr-2026,N/A,N/A,N/A,21379.5,2025-12-24T07:48:44+00:00
Celebrity Flora,26-Apr-2026,N/A,N/A,N/A,11030.0,2025-12-24T07:48:44+00:00
Celebrity Infinity,09-Mar-2026,1198.75,1298.25,1548.25,2948.75,2025-12-24T07:48:44+00:00
Celebrity Infinity,20-Mar-2026,923.29,1023.29,1348.29,2598.29,2025-12-24T07:48:44+00:00
Celebrity Infinity,30-Mar-2026,1198.46,1248.96,1748.46,3148.96,2025-12-24T07:48:44+00:00
Celebrity Infinity,10-Apr-2026,1298.66,1302.16,1598.66,3861.16,2025-12-24T07:48:44+00:00
Celebrity Infinity,20-Apr-2026,1873.28,2023.28,2448.28,4774.78,2025-12-24T07:48:44+00:00
Celebrity Millennium,28-Mar-2026,2290.52,N/A,N/A,N/A,2025-12-24T07:48:44+00:00
Celebrity Millennium,09-Apr-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:44+00:00
Celebrity Reflection,06-Mar-2026,315.29,379.29,401.79,1162.79,2025-12-24T07:48:44+00:00
Celebrity Reflection,09-Mar-2026,430.83,477.83,538.83,1443.33,2025-12-24T07:48:44+00:00
Celebrity Reflection,13-Mar-2026,343.79,376.29,439.29,1182.79,2025-12-24T07:48:44+00:00
Celebrity Reflection,16-Mar-2026,540.26,625.26,698.26,1674.26,2025-12-24T07:48:44+00:00
Celebrity Reflection,20-Mar-2026,364.09,420.59,460.59,1214.59,2025-12-24T07:48:44+00:00
Celebrity Reflection,23-Mar-2026,364.71,418.21,548.21,1519.21,2025-12-24T07:48:44+00:00
Celebrity Reflection,27-Mar-2026,306.79,340.79,375.79,1087.79,2025-12-24T07:48:44+00:00
Celebrity Reflection,30-Mar-2026,457.12,N/A,628.12,1598.62,2025-12-24T07:48:48+00:00
Celebrity Reflection,03-Apr-2026,402.35,424.85,534.85,1097.85,2025-12-24T07:48:48+00:00
Celebrity Reflection,06-Apr-2026,N/A,437.9,617.4,1516.4,2025-12-24T07:48:48+00:00
Celebrity Reflection,10-Apr-2026,334.32,398.32,455.82,1074.32,2025-12-24T07:48:48+00:00
Celebrity Reflection,13-Apr-2026,320.01,410.51,448.01,1167.01,2025-12-24T07:48:48+00:00
Celebrity Reflection,17-Apr-2026,307.13,375.13,445.63,1339.13,2025-12-24T07:48:48+00:00
Celebrity Reflection,20-Apr-2026,335.4,469.4,581.4,1502.4,2025-12-24T07:48:48+00:00
Celebrity Reflection,24-Apr-2026,328.29,341.79,422.79,1229.79,2025-12-24T07:48:48+00:00
Celebrity Silhouette,01-Mar-2026,733.22,934.22,1119.72,4807.72,2025-12-24T07:48:48+00:00
Celebrity Silhouette,07-Mar-2026,N/A,1489.17,1449.17,N/A,2025-12-24T07:48:48+00:00
Celebrity Silhouette,15-Mar-2026,1054.3,1133.3,1468.3,2458.3,2025-12-24T07:48:48+00:00
Celebrity Silhouette,04-Apr-2026,1284.38,1405.88,1670.38,3817.88,2025-12-24T07:48:48+00:00
Celebrity Silhouette,12-Apr-2026,706.84,744.34,1020.84,4969.34,2025-12-24T07:48:48+00:00
Celebrity Silhouette,18-Apr-2026,998.06,N/A,1339.06,3598.56,2025-12-24T07:48:48+00:00
Celebrity Solstice,02-Mar-2026,2670.06,2870.06,4345.06,7808.06,2025-12-24T07:48:48+00:00
Celebrity Solstice,14-Mar-2026,N/A,N/A,3999.0,8035.0,2025-12-24T07:48:48+00:00
Celebrity Solstice,26-Mar-2026,2093.98,2763.98,2929.48,13597.98,2025-12-24T07:48:48+00:00
Celebrity Solstice,09-Apr-2026,1186.84,1682.34,1719.34,7459.34,2025-12-24T07:48:48+00:00
Celebrity Solstice,24-Apr-2026,1020.87,1041.87,1138.37,N/A,2025-12-24T07:48:48+00:00
Celebrity Summit,02-Mar-2026,381.68,431.68,N/A,2241.18,2025-12-24T07:48:48+00:00
Celebrity Summit,07-Mar-2026,656.09,846.09,888.09,2338.09,2025-12-24T07:48:52+00:00
Celebrity Summit,14-Mar-2026,776.04,836.04,1018.04,2378.04,2025-12-24T07:48:52+00:00
Celebrity Summit,21-Mar-2026,656.23,746.23,1077.73,6004.23,2025-12-24T07:48:52+00:00
Celebrity Summit,28-Mar-2026,586.36,611.36,848.36,5744.86,2025-12-24T07:48:52+00:00
Celebrity Summit,04-Apr-2026,476.1,541.6,629.6,2214.1,2025-12-24T07:48:52+00:00
Celebrity Summit,09-Apr-2026,351.24,398.74,504.24,1665.74,2025-12-24T07:48:52+00:00
Celebrity Summit,13-Apr-2026,1161.92,1595.42,4126.42,N/A,2025-12-24T07:48:52+00:00
Celebrity Summit,30-Apr-2026,641.58,674.08,1245.08,4223.58,2025-12-24T07:48:52+00:00
Celebrity Xcel,01-Mar-2026,1109.23,1438.73,1499.23,4019.73,2025-12-24T07:48:52+00:00
Celebrity Xcel,08-Mar-2026,1358.77,1558.77,1678.77,4719.77,2025-12-24T07:48:52+00:00
Celebrity Xcel,15-Mar-2026,1243.73,1399.23,1513.73,3823.73,2025-12-24T07:48:52+00:00
Celebrity Xcel,22-Mar-2026,1148.83,1319.33,1705.33,4155.83,2025-12-24T07:48:52+00:00
Celebrity Xcel,29-Mar-2026,1041.73,1174.73,1439.23,3703.73,2025-12-24T07:48:52+00:00
Celebrity Xcel,05-Apr-2026,1026.79,1267.79,1499.29,4134.29,2025-12-24T07:48:52+00:00
Celebrity Xcel,12-Apr-2026,962.23,1139.23,1279.23,3719.73,2025-12-24T07:48:52+00:00
Celebrity Xcel,19-Apr-2026,1046.9,N/A,1888.9,4247.4,2025-12-24T07:48:52+00:00
Celebrity Xcel,26-Apr-2026,N/A,N/A,N/A,41376.99,2025-12-24T07:48:52+00:00
Celebrity Apex,16-May-2026,4528.67,4451.67,5284.17,N/A,2025-12-24T07:48:58+00:00
Celebrity Apex,29-May-2026,2349.14,1978.64,3342.64,13669.14,2025-12-24T07:48:58+00:00
Celebrity Apex,06-Jun-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:58+00:00
Celebrity Apex,20-Jun-2026,N/A,N/A,N/A,13820.9,2025-12-24T07:48:58+00:00
Celebrity Apex,27-Jun-2026,N/A,N/A,N/A,6262.74,2025-12-24T07:48:58+00:00
Celebrity Ascent,04-May-2026,2454.12,3095.62,3772.62,6213.12,2025-12-24T07:48:58+00:00
Celebrity Ascent,15-May-2026,2275.13,2857.13,3477.63,11532.63,2025-12-24T07:48:58+00:00
Celebrity Ascent,25-May-2026,2395.43,2786.93,3472.93,5942.93,2025-12-24T07:48:58+00:00
Celebrity Ascent,05-Jun-2026,2379.09,2887.59,4079.09,8936.09,2025-12-24T07:48:58+00:00
Celebrity Ascent,15-Jun-2026,2260.0,3033.5,3463.5,8086.0,2025-12-24T07:48:58+00:00
Celebrity Ascent,26-Jun-2026,2178.24,2808.24,3965.74,8902.24,2025-12-24T07:48:58+00:00
Celebrity Beyond,03-May-2026,903.47,921.97,1171.47,3469.47,2025-12-24T07:48:58+00:00
Celebrity Beyond,10-May-2026,N/A,N/A,1160.17,4435.67,2025-12-24T07:48:58+00:00
Celebrity Beyond,17-May-2026,831.2,899.7,1349.2,2424.2,2025-12-24T07:48:58+00:00
Celebrity Beyond,24-May-2026,999.65,1147.65,1154.15,2764.15,2025-12-24T07:48:58+00:00
Celebrity Beyond,31-May-2026,1024.88,1162.38,1378.38,2747.38,2025-12-24T07:48:58+00:00
Celebrity Beyond,07-Jun-2026,1260.12,1379.12,1507.62,3547.62,2025-12-24T07:48:58+00:00
Celebrity Beyond,14-Jun-2026,994.71,1194.21,1421.21,3088.71,2025-12-24T07:48:58+00:00
Celebrity Beyond,21-Jun-2026,1088.8,1109.3,1503.3,3607.8,2025-12-24T07:48:58+00:00
Celebrity Beyond,28-Jun-2026,1044.02,1350.52,1731.52,3403.02,2025-12-24T07:48:58+00:00
Celebrity Constellation,08-May-2026,1649.01,1899.01,N/A,5517.51,2025-12-24T07:49:03+00:00
Celebrity Constellation,08-May-2026,1649.01,1899.01,4936.51,4584.01,2025-12-24T07:49:03+00:00
Celebrity Constellation,18-May-2026,1699.28,1998.28,4700.78,10135.78,2025-12-24T07:49:03+00:00
Celebrity Constellation,29-May-2026,1498.44,1949.44,3999.44,5698.44,2025-12-24T07:49:03+00:00
Celebrity Constellation,08-Jun-2026,1831.65,1773.65,3148.65,4994.15,2025-12-24T07:49:03+00:00
Celebrity Constellation,19-Jun-2026,1598.53,1698.53,3520.53,5572.03,2025-12-24T07:49:03+00:00
Celebrity Constellation,29-Jun-2026,1428.91,1705.41,2357.91,5060.41,2025-12-24T07:49:03+00:00
Celebrity Eclipse,09-May-2026,3223.5,N/A,5875.5,N/A,2025-12-24T07:49:03+00:00
Celebrity Eclipse,02-Jun-2026,2710.88,3116.88,3367.88,8241.88,2025-12-24T07:49:03+00:00
Celebrity Edge,07-May-2026,1093.73,1100.23,1414.23,4675.23,2025-12-24T07:49:03+00:00
Celebrity Edge,15-May-2026,1181.27,1372.77,1532.27,4128.77,2025-12-24T07:49:03+00:00
Celebrity Edge,22-May-2026,1213.74,1528.24,1671.74,5398.74,2025-12-24T07:49:03+00:00
Celebrity Edge,29-May-2026,1455.74,1513.74,2355.74,4931.74,2025-12-24T07:49:03+00:00
Celebrity Edge,05-Jun-2026,1313.74,1395.74,1972.24,5024.24,2025-12-24T07:49:03+00:00
Celebrity Edge,12-Jun-2026,1403.53,1830.53,1921.03,4458.53,2025-12-24T07:49:03+00:00
Celebrity Edge,19-Jun-2026,1349.99,1634.99,1976.99,4564.99,2025-12-24T07:49:03+00:00
